year,regions_present,regions_with_value,regions_suppressed,regions_expected,regions_absent,suppression_rate,suppression_rate_all_regions
2002,17,17,0,17,0,0,0
2003,15,15,0,17,2,0,0
2004,15,15,0,17,2,0,0
2005,16,16,0,17,1,0,0
2006,15,15,0,17,2,0,0
2007,17,17,0,17,0,0,0
2008,16,16,0,17,1,0,0
2009,16,16,0,17,1,0,0
2010,17,17,0,17,0,0,0
2011,17,17,0,17,0,0,0
2012,17,17,0,17,0,0,0
2013,17,17,0,17,0,0,0
2014,17,17,0,17,0,0,0
2015,17,17,0,17,0,0,0
2016,17,17,0,17,0,0,0
2017,17,16,1,17,0,0.058823529411764705,0.058823529411764705
2018,17,15,2,17,0,0.11764705882352941,0.11764705882352941
2019,17,15,2,17,0,0.11764705882352941,0.11764705882352941
2020,17,16,1,17,0,0.058823529411764705,0.058823529411764705
2021,17,13,4,17,0,0.23529411764705882,0.23529411764705882
2022,17,16,1,17,0,0.058823529411764705,0.058823529411764705
2023,17,16,1,17,0,0.058823529411764705,0.058823529411764705
2024,17,16,1,17,0,0.058823529411764705,0.058823529411764705
2025,17,15,2,17,0,0.11764705882352941,0.11764705882352941
