year,livestock_class,a10,a19,a20,residual
2002,Beef cattle,3343135,1148146,4491281,0
2003,Beef cattle,3400859,1225759,4626617,-1
2004,Beef cattle,3281041,1166359,4447400,0
2005,Beef cattle,3249727,1173898,4423626,1
2006,Beef cattle,3258533,1180602,4439136,1
2007,Beef cattle,3148194,1245423,4393617,0
2008,Beef cattle,2966122,1170750,4136872,0
2009,Beef cattle,2896476,1204242,4100718,0
2010,Beef cattle,2837251,1111269,3948520,0
2011,Beef cattle,2744850,1101564,3846414,0
2012,Beef cattle,2659543,1074869,3734412,0
2013,Beef cattle,2621164,1077358,3698522,0
2014,Beef cattle,2604422,1065439,3669862,1
2015,Beef cattle,2523931,1023297,3547228,0
2016,Beef cattle,2508814,1024240,3533054,0
2017,Beef cattle,2576824,1039267,3616091,0
2018,Beef cattle,2620089,1101174,3721262,-1
2019,Beef cattle,2707287,1182710,3889996,-1
2020,Beef cattle,2636865,1245702,3882566,-1
2021,Beef cattle,2779223,1185588,3964811,0
2022,Beef cattle,2666541,1154615,3821156,0
2023,Beef cattle,2501041,1152992,3654034,1
2024,Beef cattle,2475309,1204134,3679443,0
2025,Beef cattle,2623043,1209625,3832668,0
2002,Dairy cattle,3831529,1330060,5161589,0
2003,Dairy cattle,3792582,1309021,5101603,0
2004,Dairy cattle,3787210,1365281,5152492,1
2005,Dairy cattle,3731709,1355468,5087176,-1
2006,Dairy cattle,3714682,1454875,5169557,0
2007,Dairy cattle,3612916,1647934,5260850,0
2008,Dairy cattle,3757557,1820883,5578440,0
2009,Dairy cattle,3796485,2064292,5860776,-1
2010,Dairy cattle,3857019,2058433,5915452,0
2011,Dairy cattle,3962614,2211889,6174503,0
2012,Dairy cattle,3957916,2487765,6445681,0
2013,Dairy cattle,3912003,2571597,6483600,0
2014,Dairy cattle,3978828,2719498,6698326,0
2015,Dairy cattle,3819694,2665841,6485535,0
2016,Dairy cattle,4057348,2561452,6618800,0
2017,Dairy cattle,3956282,2573529,6529811,0
2018,Dairy cattle,3816099,2569441,6385541,1
2019,Dairy cattle,3821519,2439376,6260895,0
2020,Dairy cattle,3657502,2542720,6200222,0
2021,Dairy cattle,3676179,2509256,6185435,0
2022,Dairy cattle,3446821,2483212,5930033,0
2023,Dairy cattle,3334436,2550191,5884627,0
2024,Dairy cattle,3315676,2521169,5836845,0
2025,Dairy cattle,3264195,2485675,5749870,0
2002,Sheep,18440251,21131586,39571837,0
2003,Sheep,18410006,21142107,39552113,0
2004,Sheep,18734141,20536997,39271137,-1
2005,Sheep,19030764,20848904,39879668,0
2006,Sheep,19540453,20541141,40081594,0
2007,Sheep,18542263,19918214,38460477,0
2008,Sheep,16988328,17099536,34087864,0
2009,Sheep,16077872,16305716,32383589,1
2010,Sheep,16029077,16533535,32562612,0
2011,Sheep,15460626,15671703,31132329,0
2012,Sheep,15267450,15995265,31262715,0
2013,Sheep,14958467,15828294,30786761,0
2014,Sheep,14362495,15440907,29803402,0
2015,Sheep,14511616,14609211,29120827,0
2016,Sheep,13693541,13890132,27583673,0
2017,Sheep,13619105,13907432,27526537,0
2018,Sheep,13584445,13711304,27295749,0
2019,Sheep,13166876,13654970,26821846,0
2020,Sheep,12450073,13578862,26028935,0
2021,Sheep,12686342,13046547,25732889,0
2022,Sheep,12284432,12848265,25132697,0
2023,Sheep,12001998,12357269,24359267,0
2024,Sheep,11644650,11938351,23583001,0
2025,Sheep,11487659,11764804,23252463,0
