name,value,readme,count
national_fall,16.3,about 16.3 million head,2
national_fall_pct,41,(41 percent),2
sampling_error,3,3 percent relative sampling error,1
sampling_half_width,0.7,±0.7 million,1
measurable_regions,15,15 regions measurable at both ends,1
figure_regions,15,the 15 regions with both endpoints published,1
figure_top3,3.57/2.91/2.27,"Canterbury lost 3.57 million head, Southland 2.91 million and Otago 2.27 million",1
figure_fourth,2.25,Manawatū-Whanganui is fourth at 2.25 million,1
average_rate,41.3,41.3 percent average rate,1
top3,"Canterbury, Southland, Otago","Canterbury, Southland and Otago held",1
top3_share,54,**54 percent** of the fall,1
top3_share_alt,54,54 percent of the fall across these regions,1
top3_base_share,50.6,50.6 percent of the 2002 flock,1
top3_base_share_alt,50.6,50.6 percent of their 2002 flock,1
over_share,Canterbury and Southland,Only Canterbury and Southland fell by more than their share,1
fourth,Manawatū-Whanganui,Otago and Manawatū-Whanganui are all but tied,1
third_gap,"15,971","15,971 head apart",1
dairy_rise,1.54,+1.54 million (29.8 percent),1
dairy_fall,0.95,−0.95 million,1
dairy_net,0.59,+0.59 million net,1
dairy_count_early,4 of 15,**4 of 15** regions over 2002–2014,1
dairy_count_late,12 of 14,**12 of 14** over 2014–2025,1
dairy_count_full,7 of 13,7 of 13 over the whole period,1
imputed,30,30 percent of the sheep estimate imputed,1
matched_fall,14.4,14.4 million head,1
matched_share,55.6,top three at 55.6 percent,1
matched_swap,Manawatū-Whanganui Otago,Manawatū-Whanganui replaces Otago,1
top3_national_share,53.6,53.6 percent against the published national fall,1
national_gap_pct,0.77,0.77 percent larger,1
excluded,Auckland and Nelson,Auckland and Nelson are withheld in 2025,1
class_years,72,72 class-years (3 classes × 24 years),1
census_rule_fails,9,fires 9 times,1
tiers,10/12/50,"10 exact, 12 off by at most 2 head, 50 incomplete",1
unflagged_gap_nonzero,21 of 22,21 of the 22,1
sensitivity_range,48–59,48–59 percent,1
sensitivity_below_half,"2008, 2009 and 2010","below half for 2008, 2009 and 2010 starts",1
