year,area_code,region,island,is_aggregate,livestock_class,head,suppressed,suppression_code,is_census_year
2002,1,Northland,North Island,FALSE,Beef cattle,468432,FALSE,NA,TRUE
2003,1,Northland,North Island,FALSE,Beef cattle,478201,FALSE,NA,FALSE
2004,1,Northland,North Island,FALSE,Beef cattle,451849,FALSE,NA,FALSE
2005,1,Northland,North Island,FALSE,Beef cattle,469262,FALSE,NA,FALSE
2006,1,Northland,North Island,FALSE,Beef cattle,490788,FALSE,NA,FALSE
2007,1,Northland,North Island,FALSE,Beef cattle,495833,FALSE,NA,TRUE
2008,1,Northland,North Island,FALSE,Beef cattle,507540,FALSE,NA,FALSE
2009,1,Northland,North Island,FALSE,Beef cattle,485231,FALSE,NA,FALSE
2010,1,Northland,North Island,FALSE,Beef cattle,465169,FALSE,NA,FALSE
2011,1,Northland,North Island,FALSE,Beef cattle,402434,FALSE,NA,FALSE
2012,1,Northland,North Island,FALSE,Beef cattle,380719,FALSE,NA,TRUE
2013,1,Northland,North Island,FALSE,Beef cattle,396376,FALSE,NA,FALSE
2014,1,Northland,North Island,FALSE,Beef cattle,349850,FALSE,NA,FALSE
2015,1,Northland,North Island,FALSE,Beef cattle,354569,FALSE,NA,FALSE
2016,1,Northland,North Island,FALSE,Beef cattle,356823,FALSE,NA,FALSE
2017,1,Northland,North Island,FALSE,Beef cattle,382957,FALSE,NA,TRUE
2018,1,Northland,North Island,FALSE,Beef cattle,400489,FALSE,NA,FALSE
2019,1,Northland,North Island,FALSE,Beef cattle,382124,FALSE,NA,FALSE
2020,1,Northland,North Island,FALSE,Beef cattle,377720,FALSE,NA,FALSE
2021,1,Northland,North Island,FALSE,Beef cattle,360991,FALSE,NA,FALSE
2022,1,Northland,North Island,FALSE,Beef cattle,370725,FALSE,NA,TRUE
2023,1,Northland,North Island,FALSE,Beef cattle,353872,FALSE,NA,FALSE
2024,1,Northland,North Island,FALSE,Beef cattle,321859,FALSE,NA,FALSE
2025,1,Northland,North Island,FALSE,Beef cattle,319563,FALSE,NA,FALSE
2002,10,Total North Island,NA,TRUE,Beef cattle,3343135,FALSE,NA,TRUE
2003,10,Total North Island,NA,TRUE,Beef cattle,3400859,FALSE,NA,FALSE
2004,10,Total North Island,NA,TRUE,Beef cattle,3281041,FALSE,NA,FALSE
2005,10,Total North Island,NA,TRUE,Beef cattle,3249727,FALSE,NA,FALSE
2006,10,Total North Island,NA,TRUE,Beef cattle,3258533,FALSE,NA,FALSE
2007,10,Total North Island,NA,TRUE,Beef cattle,3148194,FALSE,NA,TRUE
2008,10,Total North Island,NA,TRUE,Beef cattle,2966122,FALSE,NA,FALSE
2009,10,Total North Island,NA,TRUE,Beef cattle,2896476,FALSE,NA,FALSE
2010,10,Total North Island,NA,TRUE,Beef cattle,2837251,FALSE,NA,FALSE
2011,10,Total North Island,NA,TRUE,Beef cattle,2744850,FALSE,NA,FALSE
2012,10,Total North Island,NA,TRUE,Beef cattle,2659543,FALSE,NA,TRUE
2013,10,Total North Island,NA,TRUE,Beef cattle,2621164,FALSE,NA,FALSE
2014,10,Total North Island,NA,TRUE,Beef cattle,2604422,FALSE,NA,FALSE
2015,10,Total North Island,NA,TRUE,Beef cattle,2523931,FALSE,NA,FALSE
2016,10,Total North Island,NA,TRUE,Beef cattle,2508814,FALSE,NA,FALSE
2017,10,Total North Island,NA,TRUE,Beef cattle,2576824,FALSE,NA,TRUE
2018,10,Total North Island,NA,TRUE,Beef cattle,2620089,FALSE,NA,FALSE
2019,10,Total North Island,NA,TRUE,Beef cattle,2707287,FALSE,NA,FALSE
2020,10,Total North Island,NA,TRUE,Beef cattle,2636865,FALSE,NA,FALSE
2021,10,Total North Island,NA,TRUE,Beef cattle,2779223,FALSE,NA,FALSE
2022,10,Total North Island,NA,TRUE,Beef cattle,2666541,FALSE,NA,TRUE
2023,10,Total North Island,NA,TRUE,Beef cattle,2501041,FALSE,NA,FALSE
2024,10,Total North Island,NA,TRUE,Beef cattle,2475309,FALSE,NA,FALSE
2025,10,Total North Island,NA,TRUE,Beef cattle,2623043,FALSE,NA,FALSE
2002,11,Tasman,South Island,FALSE,Beef cattle,49032,FALSE,NA,TRUE
2003,11,Tasman,South Island,FALSE,Beef cattle,56155,FALSE,NA,FALSE
2004,11,Tasman,South Island,FALSE,Beef cattle,46223,FALSE,NA,FALSE
2005,11,Tasman,South Island,FALSE,Beef cattle,45222,FALSE,NA,FALSE
2006,11,Tasman,South Island,FALSE,Beef cattle,45759,FALSE,NA,FALSE
2007,11,Tasman,South Island,FALSE,Beef cattle,51428,FALSE,NA,TRUE
2008,11,Tasman,South Island,FALSE,Beef cattle,49869,FALSE,NA,FALSE
2009,11,Tasman,South Island,FALSE,Beef cattle,59543,FALSE,NA,FALSE
2010,11,Tasman,South Island,FALSE,Beef cattle,49783,FALSE,NA,FALSE
2011,11,Tasman,South Island,FALSE,Beef cattle,46355,FALSE,NA,FALSE
2012,11,Tasman,South Island,FALSE,Beef cattle,40149,FALSE,NA,TRUE
2013,11,Tasman,South Island,FALSE,Beef cattle,42268,FALSE,NA,FALSE
2014,11,Tasman,South Island,FALSE,Beef cattle,38788,FALSE,NA,FALSE
2015,11,Tasman,South Island,FALSE,Beef cattle,41531,FALSE,NA,FALSE
2016,11,Tasman,South Island,FALSE,Beef cattle,36642,FALSE,NA,FALSE
2017,11,Tasman,South Island,FALSE,Beef cattle,39805,FALSE,NA,TRUE
2018,11,Tasman,South Island,FALSE,Beef cattle,31913,FALSE,NA,FALSE
2019,11,Tasman,South Island,FALSE,Beef cattle,36912,FALSE,NA,FALSE
