year,livestock_class,regions_present,regions_suppressed,region_sum,published,residual,residual_pct,fully_published,tier
2002,Beef cattle,17,0,4491281,4491281,0,0,TRUE,Exact
2002,Dairy cattle,15,0,5159800,5161589,1789,0.03465986927668979,FALSE,Incomplete region row
2002,Sheep,17,0,39571837,39571837,0,0,TRUE,Exact
2003,Beef cattle,15,0,4610377,4626617,16240,0.3510124136058809,FALSE,Incomplete region row
2003,Dairy cattle,15,0,5100211,5101603,1392,0.027285541426880923,FALSE,Incomplete region row
2003,Sheep,15,0,39408419,39552113,143694,0.3633029668983804,FALSE,Incomplete region row
2004,Beef cattle,16,0,4437878,4447400,9522,0.2141026217565319,FALSE,Incomplete region row
2004,Dairy cattle,14,0,5142456,5152492,10036,0.19477953580519872,FALSE,Incomplete region row
2004,Sheep,15,0,39198830,39271137,72307,0.18412250197899796,FALSE,Incomplete region row
2005,Beef cattle,16,0,4412853,4423626,10773,0.24353324625544745,FALSE,Incomplete region row
2005,Dairy cattle,14,0,5080668,5087176,6508,0.12792952317749573,FALSE,Incomplete region row
2005,Sheep,16,0,39824732,39879668,54936,0.13775440658131857,FALSE,Incomplete region row
2006,Beef cattle,15,0,4422073,4439136,17063,0.3843765994103357,FALSE,Incomplete region row
2006,Dairy cattle,14,0,5160577,5169557,8980,0.17370927528219535,FALSE,Incomplete region row
2006,Sheep,15,0,39980941,40081594,100653,0.25112025235323726,FALSE,Incomplete region row
2007,Beef cattle,17,0,4393617,4393617,0,0,TRUE,Exact
2007,Dairy cattle,16,0,5260850,5260850,0,0,FALSE,Incomplete region row
2007,Sheep,17,0,38460477,38460477,0,0,TRUE,Exact
2008,Beef cattle,17,0,4136874,4136872,-2,-4.8345706611178687e-05,TRUE,"Fully published, off by a few head"
2008,Dairy cattle,15,0,5575201,5578440,3239,0.058062827600547824,FALSE,Incomplete region row
2008,Sheep,16,0,33767565,34087864,320299,0.9396276633819004,FALSE,Incomplete region row
2009,Beef cattle,15,0,4041265,4100718,59453,1.4498192755512571,FALSE,Incomplete region row
2009,Dairy cattle,13,0,5815421,5860776,45355,0.7738736303861469,FALSE,Incomplete region row
2009,Sheep,16,0,32312249,32383589,71340,0.2202967682180008,FALSE,Incomplete region row
2010,Beef cattle,17,0,3948522,3948520,-2,-5.065188982200926e-5,TRUE,"Fully published, off by a few head"
2010,Dairy cattle,15,0,5914945,5915452,507,0.008570773628118358,FALSE,Incomplete region row
2010,Sheep,17,0,32562612,32562612,0,0,TRUE,Exact
2011,Beef cattle,15,0,3831720,3846414,14694,0.3820181602916379,FALSE,Incomplete region row
2011,Dairy cattle,15,0,6173943,6174503,560,0.009069555881663674,FALSE,Incomplete region row
2011,Sheep,17,0,31132328,31132329,1,3.212095053987127e-6,TRUE,"Fully published, off by a few head"
2012,Beef cattle,17,2,3722115,3734412,12297,0.32928878763243047,FALSE,Incomplete region row
2012,Dairy cattle,17,2,6443893,6445681,1788,0.02773950494912795,FALSE,Incomplete region row
2012,Sheep,17,0,31262715,31262715,0,0,TRUE,Exact
2013,Beef cattle,17,0,3698523,3698522,-1,-2.7037827543002313e-5,TRUE,"Fully published, off by a few head"
2013,Dairy cattle,17,0,6483601,6483600,-1,-1.5423530137577888e-5,TRUE,"Fully published, off by a few head"
2013,Sheep,17,0,30786762,30786761,-1,-3.248149423708457e-6,TRUE,"Fully published, off by a few head"
2014,Beef cattle,17,0,3669861,3669862,1,2.7248981024354594e-5,TRUE,"Fully published, off by a few head"
2014,Dairy cattle,17,1,6696163,6698326,2163,0.03229165018244857,FALSE,Incomplete region row
2014,Sheep,17,0,29803402,29803402,0,0,TRUE,Exact
2015,Beef cattle,17,0,3547228,3547228,0,0,TRUE,Exact
2015,Dairy cattle,17,0,6485536,6485535,-1,-1.541892843073085e-5,TRUE,"Fully published, off by a few head"
2015,Sheep,17,0,29120829,29120827,-2,-6.867936820612959e-6,TRUE,"Fully published, off by a few head"
2016,Beef cattle,17,0,3533055,3533054,-1,-2.830412442040229e-5,TRUE,"Fully published, off by a few head"
2016,Dairy cattle,17,0,6618799,6618800,1,1.5108478878346528e-5,TRUE,"Fully published, off by a few head"
2016,Sheep,17,0,27583672,27583673,1,3.625333000431088e-6,TRUE,"Fully published, off by a few head"
2017,Beef cattle,17,1,3613372,3616091,2719,0.07519169180200387,FALSE,Incomplete region row
2017,Dairy cattle,17,0,6529811,6529811,0,0,TRUE,Exact
2017,Sheep,17,1,27506969,27526537,19568,0.07108776523541628,FALSE,Incomplete region row
2018,Beef cattle,17,1,3716886,3721262,4376,0.11759451497905818,FALSE,Incomplete region row
2018,Dairy cattle,17,4,5684015,6385541,701526,10.986163897467732,FALSE,Incomplete region row
2018,Sheep,17,2,27202153,27295749,93596,0.3428958846302404,FALSE,Incomplete region row
2019,Beef cattle,17,1,3882865,3889996,7131,0.1833163838728883,FALSE,Incomplete region row
2019,Dairy cattle,17,2,6251134,6260895,9761,0.15590422775018586,FALSE,Incomplete region row
2019,Sheep,17,2,26535840,26821846,286006,1.0663173593644524,FALSE,Incomplete region row
2020,Beef cattle,17,1,3879776,3882566,2790,0.07185969279079867,FALSE,Incomplete region row
2020,Dairy cattle,17,3,6127940,6200222,72282,1.1657969666247434,FALSE,Incomplete region row
2020,Sheep,17,1,26008537,26028935,20398,0.07836663313347242,FALSE,Incomplete region row
2021,Beef cattle,17,3,3840268,3964811,124543,3.141209000883018,FALSE,Incomplete region row
2021,Dairy cattle,17,2,6161134,6185435,24301,0.3928745512643816,FALSE,Incomplete region row
2021,Sheep,17,4,25174579,25732889,558310,2.169635908350594,FALSE,Incomplete region row
2022,Beef cattle,17,1,3815387,3821156,5769,0.15097525460881472,FALSE,Incomplete region row
2022,Dairy cattle,17,1,5927567,5930033,2466,0.04158492878538787,FALSE,Incomplete region row
2022,Sheep,17,1,25113843,25132697,18854,0.0750178144430739,FALSE,Incomplete region row
2023,Beef cattle,17,2,3649475,3654034,4559,0.12476621728205047,FALSE,Incomplete region row
2023,Dairy cattle,17,4,5781967,5884627,102660,1.7445455761257256,FALSE,Incomplete region row
2023,Sheep,17,1,24338666,24359267,20601,0.08457151030037152,FALSE,Incomplete region row
2024,Beef cattle,17,0,3679443,3679443,0,0,TRUE,Exact
2024,Dairy cattle,17,2,5748727,5836845,88118,1.5096854550703334,FALSE,Incomplete region row
2024,Sheep,17,1,23363016,23583001,219985,0.9328117316366988,FALSE,Incomplete region row
2025,Beef cattle,17,1,3831386,3832668,1282,0.033449283893100056,FALSE,Incomplete region row
2025,Dairy cattle,17,3,5586899,5749870,162971,2.834342341652942,FALSE,Incomplete region row
2025,Sheep,17,2,22997178,23252463,255285,1.0978836951595192,FALSE,Incomplete region row
